Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,No,Travel_Frequently,1000.0,Research & Development,14.0,4,Medical,1,1,4,Male,55,1,3,Sales Executive,1,Married,10666,10054,3.0,Y,No,19,3,4,80,1,7,6,3,5,3,5,1
28,Yes,Travel_Rarely,1400.0,Research & Development,2.0,5,Life Sciences,1,2,1,Male,30,4,1,Research Scientist,3,Single,2576,21517,5.0,Y,Yes,23,3,4,80,0,10,2,2,9,4,3,4
44,No,Travel_Frequently,184.0,Research & Development,2.0,3,Marketing,1,3,1,Female,97,3,3,Manager,3,Single,10475,10659,5.0,Y,No,17,3,3,80,1,1,2,1,1,1,1,1
45,No,Travel_Rarely,1443.0,Sales,5.0,3,Life Sciences,1,4,4,Female,75,2,3,Laboratory Technician,2,Married,12126,4029,6.0,Y,Yes,15,4,4,80,2,16,3,1,8,8,1,8
19,No,Travel_Rarely,1023.0,Sales,2.0,3,Medical,1,5,3,Female,86,3,1,Sales Executive,3,Single,5039,14493,4.0,Y,No,19,4,2,80,1,1,0,2,1,1,1,0
25,No,Travel_Rarely,121.0,Sales,18.0,3,Life Sciences,1,6,2,Male,84,3,1,Laboratory Technician,4,Single,4896,5623,3.0,Y,No,11,3,4,80,2,7,2,3,6,0,0,6
38,No,Travel_Rarely,911.0,Research & Development,1.0,2,Marketing,1,7,3,Male,30,3,4,Sales Executive,3,Single,14681,16886,4.0,Y,No,20,3,3,80,1,10,0,3,5,1,5,1
34,No,Travel_Rarely,294.0,Research & Development,1.0,3,Marketing,1,8,3,Female,64,3,1,Research Scientist,3,Married,6065,25360,4.0,Y,No,12,3,1,80,1,16,3,3,6,3,1,6
37,No,Travel_Rarely,1223.0,Human Resources,5.0,1,Technical Degree,1,9,3,Male,90,3,1,Research Scientist,3,Single,4624,4607,2.0,Y,No,23,3,3,80,0,8,3,3,5,0,2,5
29,No,Travel_Frequently,490.0,Sales,4.0,4,Life Sciences,1,10,2,Male,70,2,1,Manufacturing Director,2,Married,5510,9074,3.0,Y,No,12,3,1,80,1,11,0,2,11,2,0,8
45,No,Travel_Rarely,182.0,Research & Development,1.0,3,Human Resources,1,11,3,Male,71,4,3,Laboratory Technician,3,Divorced,9323,16199,3.0,Y,No,17,3,3,80,1,17,3,3,3,3,1,3
44,No,Travel_Rarely,1286.0,Research & Development,4.0,3,Life Sciences,1,12,3,Male,97,4,1,Sales Representative,1,Divorced,9296,5845,4.0,Y,No,11,3,1,80,1,2,6,3,1,1,1,1
38,No,Non-Travel,851.0,Research & Development,8.0,3,Life Sciences,1,13,3,Female,82,3,2,Sales Executive,4,Single,7389,15417,2.0,Y,Yes,14,3,3,80,1,5,2,3,1,1,1,0
47,Yes,Travel_Rarely,955.0,Research & Development,17.0,4,Life Sciences,1,14,4,Female,83,1,2,Healthcare Representative,3,Married,8266,7446,2.0,Y,Yes,11,3,3,80,0,11,6,3,4,2,4,0
41,No,Travel_Rarely,1263.0,Research & Development,21.0,2,Life Sciences,1,15,3,Female,85,3,2,Sales Executive,3,Married,8919,17930,3.0,Y,No,11,3,3,80,0,9,6,2,2,2,0,2
29,No,Travel_Rarely,891.0,Research & Development,3.0,2,Medical,1,16,4,Male,53,3,1,Research Scientist,4,Married,3960,11087,2.0,Y,No,19,3,3,80,2,7,2,3,2,2,0,2
40,No,Non-Travel,1214.0,Human Resources,6.0,2,Life Sciences,1,17,4,Male,98,4,2,Sales Representative,2,Married,7914,25144,4.0,Y,No,11,3,2,80,0,1,3,3,0,0,0,0
28,No,Travel_Rarely,937.0,Research & Development,1.0,3,Life Sciences,1,18,2,Male,89,2,2,Manufacturing Director,1,Single,7892,22954,1.0,Y,No,12,3,2,80,0,6,4,3,4,4,1,1
45,No,Travel_Rarely,140.0,Research & Development,3.0,5,Medical,1,19,1,Male,32,2,5,Sales Executive,4,Divorced,15854,26838,2.0,Y,No,12,3,3,80,1,9,3,2,9,1,7,9
